time/s,Ewe/V,<I>/mA
6130.012291159946,2.166997,-10.98995394959333
6145.012291872408,2.1658158,-10.98975927593721
6160.01229258487,2.1646345,-10.9897500671313
6175.012293297332,2.1634533,-10.98993187724738
6190.012294009794,2.1624296,-10.98995604678663
6205.012294722255,2.1612482,-10.98975822613258
6220.012295434717,2.1601064,-10.98982757757988
6235.012296147179,2.159004,-10.98983991850642
6250.012296859641,2.1579409,-10.98966547558767
6265.012297572102,2.1567991,-10.98974954604367
6280.012298284564,2.155539,-10.98991270254532
6295.012298997026,2.1545546,-10.98966311505311
6310.012299709488,2.1535308,-10.98970016504423
6325.012300421949,2.152389,-10.98980366731287
6340.012301134411,2.1512077,-10.98962318216825
6355.012301846873,2.1501839,-10.98969227574203
6370.012302559335,2.1490421,-10.98967809498709
6385.012303271797,2.1477821,-10.9897950052802
6400.012303984258,2.1465616,-10.98990613007656
6415.01230469672,2.1454589,-10.9899329247632
6430.012305409182,2.1441596,-10.98988642602171
6445.012306121644,2.1430178,-10.98975349171203
6460.012306834105,2.1417577,-10.98984728303346
6475.012307546567,2.1405766,-10.9897524392371
6490.012308259029,2.1393166,-10.98970172881572
6505.012308971491,2.1380172,-10.98964735399632
6520.012309683952,2.1370327,-10.98964656893166
6535.012310396414,2.1357727,-10.98985569266034
6550.012311108876,2.1346309,-10.98981969476267
6565.012311821338,2.1333315,-10.98975455168919
6580.0123125338,2.1322291,-10.98994553818626
6595.012313246261,2.1310477,-10.98997390999583
6610.012313958723,2.1299846,-10.98993345856647
6625.012314671185,2.1288035,-10.98972643393845
6640.012315383647,2.1274254,-10.9896652198758
6655.012316096108,2.1264017,-10.98992741278022
6670.01231680857,2.125181,-10.9895987485248
6685.012317521032,2.1239603,-10.98965812097884
6700.012318233494,2.1230154,-10.98976793542675
6715.012318945955,2.1217947,-10.98983256783945
6730.012319658417,2.120574,-10.98985069299118
6745.012320370879,2.1192749,-10.98966232668238
6760.012321083341,2.1180542,-10.98983124642838
6775.012321795803,2.1167941,-10.9899597247904
6790.012322508264,2.1156523,-10.99005325429646
6805.012323220726,2.1145103,-10.98989535686337
6820.012323933188,2.1132898,-10.98975612207282
6835.01232464565,2.1120298,-10.98990087151663
6850.012325358111,2.110888,-10.98970042418932
6865.012326070573,2.1097853,-10.9896147750845
6880.012326783035,2.1086042,-10.98962606544346
6895.012327495497,2.1073442,-10.98959401702884
6910.012328207958,2.1062417,-10.98952440249459
6925.01232892042,2.1051393,-10.98958167444927
6940.012329632882,2.1039186,-10.9896725719415
6955.012330345344,2.1028554,-10.98984964089772
6970.012331057806,2.1016347,-10.98958167254192
6985.012331770267,2.1003354,-10.9897001577963
7000.012332482729,2.099036,-10.98979262681657
7015.012333195191,2.0977366,-10.98966837030697
7030.012333907653,2.0963192,-10.9896223944333
7045.012334620114,2.0952168,-10.98976137020591
7060.012335332576,2.0939174,-10.98999361672096
7075.012336045038,2.0926573,-10.99004116590287
7090.0123367575,2.0913579,-10.98997233452593
7105.012337469961,2.0899012,-10.98985306573277
7120.012338182423,2.0884836,-10.98982731690892
7135.012338894885,2.0872235,-10.98971407762597
7150.012339607347,2.0858061,-10.98965392277755
7165.012340319809,2.0844674,-10.98956250254466
7180.01234103227,2.0830498,-10.98944505743102
7195.012341744732,2.0816324,-10.9895060128572
